wkt;

"POINT (-111.9548278 33.4483323)"
"POINT (-111.9548839 33.4483570)"
"POINT (-111.9549265 33.4483678)"
"POINT (-111.9549778 33.4483761)"
"POINT (-111.9555555 33.4483804)"
"POINT (-111.9556095 33.4483851)"
"POINT (-111.9556631 33.4483986)"
"POINT (-111.9557295 33.4484276)"
"POINT (-111.9557936 33.4484751)"
"POINT (-111.9558281 33.4485144)"
"POINT (-111.9558929 33.4486269)"
"POINT (-111.9559204 33.4486601)"
"POINT (-111.9559649 33.4486973)"
"POINT (-111.9560064 33.4487208)"
"POINT (-111.9560594 33.4487454)"
"POINT (-111.9561258 33.4487661)"
"POINT (-111.9561774 33.4487734)"
"POINT (-111.9572465 33.4487784)"
"POINT (-111.9572883 33.4487844)"
"POINT (-111.9573231 33.4488027)"
"POINT (-111.9573734 33.4488457)"
"POINT (-111.9574113 33.4488690)"
"POINT (-111.9574394 33.4488780)"
"POINT (-111.9574845 33.4488851)"
"POINT (-111.9611376 33.4489111)"
"POINT (-111.9611600 33.4468471)"
"POINT (-111.9612052 33.4426999)"
"POINT (-111.9612402 33.4410609)"
"POINT (-111.9612562 33.4403980)"
"POINT (-111.9612636 33.4398097)"
"POINT (-111.9613146 33.4375038)"
"POINT (-111.9613419 33.4362681)"
"POINT (-111.9613441 33.4361710)"
"POINT (-111.9694001 33.4363371)"
"POINT (-111.9784941 33.4365191)"
"POINT (-111.9784655 33.4328917)"
"POINT (-111.9784325 33.4299258)"
"POINT (-111.9784359 33.4295774)"
"POINT (-111.9784052 33.4259736)"
"POINT (-111.9783967 33.4240050)"
"POINT (-111.9783890 33.4222392)"
"POINT (-111.9783718 33.4182726)"
"POINT (-111.9783711 33.4181179)"
"POINT (-111.9783717 33.4173846)"
"POINT (-111.9783728 33.4156366)"
"POINT (-111.9783731 33.4152749)"
"POINT (-111.9783755 33.4113626)"
"POINT (-111.9783769 33.4110793)"
"POINT (-111.9783869 33.4074177)"
"POINT (-111.9784269 33.4009051)"
"POINT (-111.9784384 33.3990194)"
"POINT (-111.9784483 33.3969726)"
"POINT (-111.9784521 33.3963537)"
"POINT (-111.9784599 33.3948661)"
"POINT (-111.9784669 33.3935131)"
"POINT (-111.9784743 33.3925878)"
"POINT (-111.9781303 33.3925918)"
"POINT (-111.9781616 33.3925642)"
"POINT (-111.9781937 33.3853719)"
"POINT (-111.9782128 33.3853715)"
"POINT (-111.9782271 33.3853663)"
"POINT (-111.9782360 33.3853541)"
"POINT (-111.9782434 33.3853424)"
"POINT (-111.9782477 33.3836478)"
